ID,AR,Dec
0750+125,07:50:52.0457,+12:31:04.828
0753+538,07:53:01.3845,+53:52:59.637
0757+099,07:57:06.6429,+09:56:34.852
0802+181,08:02:48.0319,+18:09:49.249
0804-278,08:04:51.4511,-27:49:11.320
0806-268,08:06:12.7225,-26:52:33.307
0808-078,08:08:15.5360,-07:51:09.886
0808+498,08:08:39.6662,+49:50:36.530
0811+017,08:11:26.7073,+01:46:52.220
0818+423,08:18:15.9996,+42:22:45.414
0823+223,08:23:24.7591,+22:23:03.288
0824+558,08:24:47.2363,+55:52:42.669
0824+392,08:24:55.4838,+39:16:41.904
0825+031,08:25:50.3383,+03:09:24.520
0826-225,08:26:01.5729,-22:30:27.202
0828-375,08:28:04.7802,-37:31:06.280
0830+241,08:30:52.0861,+24:10:59.820
0831+044,08:31:48.8769,+04:29:39.085
0836-202,08:36:39.2152,-20:16:59.503
0840+132,08:40:47.5890,+13:12:23.560
0841+708,08:41:24.3652,+70:53:42.173
0854+201,08:54:48.8749,+20:06:30.640
0902-142,09:02:16.8309,-14:15:30.875
0903+468,09:03:03.9901,+46:51:04.137
0909+013,09:09:10.0915,+01:21:35.617
0914+027,09:14:37.9134,+02:45:59.245
0920+446,09:20:58.4584,+44:41:53.985
0921+622,09:21:36.2310,+62:15:52.180
0925+003,09:25:07.8150,+00:19:13.933
0927+390,09:27:03.0139,+39:02:20.851
0927-205,09:27:51.8243,-20:34:51.232
0937+501,09:37:12.3273,+50:08:52.097
0943-083,09:43:36.9443,-08:19:30.812
0948+406,09:48:55.3381,+40:39:44.587
0956+252,09:56:49.8753,+25:15:16.049
0957+553,09:57:38.1849,+55:22:57.769
0958+474,09:58:19.6716,+47:25:07.842
0958+655,09:58:47.2451,+65:33:54.818
1008+063,10:08:00.8161,+06:21:21.215
1010+828,10:10:15.7830,+82:50:14.384
1014+230,10:14:47.0654,+23:01:16.570
1018+357,10:18:10.9880,+35:42:39.441
1033+608,10:33:51.4289,+60:51:07.334
1035-201,10:35:02.1552,-20:11:34.359
1037-295,10:37:16.0797,-29:34:02.813
1039-156,10:39:06.7050,-15:41:06.691
1041+061,10:41:17.1625,+06:10:16.923
1043+241,10:43:09.0357,+24:08:35.409
1044+809,10:44:23.0625,+80:54:39.443
1048-191,10:48:06.6206,-19:09:35.726
1048+717,10:48:27.6199,+71:43:35.938
1051+213,10:51:48.7890,+21:19:52.314
1057-245,10:57:55.4100,-24:33:48.871
1058+812,10:58:11.5353,+81:14:32.675
1058+015,10:58:29.6052,+01:33:58.823
1102+279,11:02:14.2884,+27:57:08.689
1103+302,11:03:13.3018,+30:14:42.702
1103+220,11:03:23.0676,+22:03:37.720
1104+382,11:04:27.3139,+38:12:31.799
1107-448,11:07:08.6941,-44:49:07.618
1107+164,11:07:15.0474,+16:28:02.245
1111+199,11:11:20.0658,+19:55:36.001
1112-219,11:12:49.8487,-21:58:29.351
1118+125,11:18:57.3014,+12:34:41.718
1120-251,11:20:09.1207,-25:08:07.608
1120+143,11:20:27.8072,+14:20:54.991
1122+180,11:22:29.7114,+18:05:26.343
1127-189,11:27:04.3924,-18:57:17.441
1130-148,11:30:07.0525,-14:49:27.388
1145-228,11:45:22.0468,-22:50:31.342
1146-289,11:46:26.1886,-28:59:18.504
1146+539,11:46:44.2043,+53:56:43.083
1146+399,11:46:58.2979,+39:58:34.304
1147-382,11:47:01.3707,-38:12:11.023
1153+809,11:53:12.4991,+80:58:29.154
1153+495,11:53:24.4666,+49:31:08.830
1159-224,11:59:11.2672,-22:28:36.902
1159+292,11:59:31.8339,+29:14:43.826
1159-218,11:59:51.9061,-21:48:53.707
1203+480,12:03:29.8546,+48:03:13.629
1205-265,12:05:33.2123,-26:34:04.464
1207+279,12:07:27.9004,+27:54:58.849
1209-241,12:09:02.4451,-24:06:20.759
1215-175,12:15:46.7517,-17:31:45.402
1218-460,12:18:06.2518,-46:00:29.007
1221+282,12:21:31.6905,+28:13:58.500
1222+042,12:22:22.5496,+04:13:15.776
1224+213,12:24:54.4583,+21:22:46.388
1227+365,12:27:58.7254,+36:35:11.827
1229+020,12:29:06.6997,+02:03:08.598
1230+123,12:30:49.4233,+12:23:28.043
1239+075,12:39:24.5883,+07:30:17.189
1244+408,12:44:49.1872,+40:48:06.153
1246-075,12:46:04.2321,-07:30:46.574
1246-257,12:46:46.8020,-25:47:49.288
1248-199,12:48:23.8981,-19:59:18.587
1254+116,12:54:38.2556,+11:41:05.895
1256-057,12:56:11.1665,-05:47:21.524
1258-223,12:58:54.4787,-22:19:31.125
1305-105,13:05:33.0150,-10:33:19.428
1309+119,13:09:33.9324,+11:54:24.552
1310+323,13:10:28.6638,+32:20:43.782
1316-336,13:16:07.9859,-33:38:59.172
1325-430,13:25:27.6155,-43:01:08.804
1327+221,13:27:00.8613,+22:10:50.163
1329+319,13:29:52.8649,+31:54:11.055
1331+305,13:31:08.2879,+30:30:32.958
1337-129,13:37:39.7827,-12:57:24.693
1357+193,13:57:04.4366,+19:19:07.372
1357-154,13:57:11.2449,-15:27:28.786
1357+767,13:57:55.3715,+76:43:21.051
1408-078,14:08:56.4812,-07:52:26.666
1415+133,14:15:58.8174,+13:20:23.712
1416+347,14:16:04.1862,+34:44:36.427
1419+543,14:19:46.5974,+54:23:14.787
1419+383,14:19:46.6137,+38:21:48.475
1424-492,14:24:32.28,-49:13:49.30
1427-421,14:27:56.2975,-42:06:19.437
1433-158,14:33:21.4593,-15:48:44.687
1439-155,14:39:56.8720,-15:31:50.555
1446+173,14:46:35.3462,+17:21:07.581
1454-377,14:54:27.4097,-37:47:33.144
1454-402,14:54:32.9123,-40:12:32.514
1458+042,14:58:59.3562,+04:16:13.820
1459+716,14:59:07.5838,+71:40:19.867
1504+104,15:04:24.9797,+10:29:39.198
1505+034,15:05:06.4771,+03:26:30.812
1506+426,15:06:53.0418,+42:39:23.035
1507-168,15:07:04.7869,-16:52:30.267
1510-057,15:10:53.5914,-05:43:07.417
1512-090,15:12:50.5329,-09:05:59.829
1513-102,15:13:44.8934,-10:12:00.264
1513-212,15:13:56.9701,-21:14:57.506
1516+002,15:16:40.2190,+00:15:01.908
1517-243,15:17:41.8131,-24:22:19.475
1522-275,15:22:37.6759,-27:30:10.785
1538+003,15:38:15.9530,+00:19:05.324
1540+147,15:40:49.4915,+14:47:45.884
1549+506,15:49:17.4685,+50:38:05.788
1549+026,15:49:29.4368,+02:37:01.163
1550+054,15:50:35.2692,+05:27:10.448
1553+129,15:53:32.6978,+12:56:51.716
1557-000,15:57:51.4339,-00:01:50.413
1604-446,16:04:31.0247,-44:41:31.909
