ID,AR,Dec
0017-0512,00:17:35.817,-05:12:41.767
0035-252,00:38:14.7,-24:59:02
0106+0119,01:08:38.76,+01:34:59.7
0131-522,00:00:00,00:00:00
0135-247,01:37:38.3,-24:30:54
0208-512,02:10:46.2,-51:01:01.891
0235+164,02:38:38.93,+16:36:59.275
0235-618,02:36:53.2,-61:36:15
0238-3116,02:38:32.5,-31:16:58
0244-470,\cf2 00:00:00,00:00:00
0250-255,02:52:47.95,-22:19:25.46
0301-243,03:03:26.5,-24:07:11.0
0336-01,00:00:00,00:00:00
0316+0904,03:16:12.7,+09:04:43.3
0402-362,04:03:53.7,-36:05:02
0413-5332,04:13:13.5,-53:32:01
0422+004,04:24:46.8,+00:36:06
0424+0036,00:00:00,00:00:00
0426-380,04:28:40.42,-37:56:19.58
0440-00,04:42:38.661,-00:17:43.42
0447-032,00:00:00,00:00:00
0454-234,04:57:03.2,-23:24:52
0454-46,05:07:54.6,-61:04:43
0458-02,05:01:12.8,-01:59:14.0
0502+049,05:05:23.18,+04:59:42.7
0507-6104,05:07:54.6,-61:04:43
0528+134,05:30:56.359,+13:31:55.03
0531-4827,05:31:58.6,-48:27:36
0537-441,05:38:50.3,-44:05:09
0617-4026,00:00:00,00:00:00
0623-3350,06:23:39.89,-33:50:15.0
0630-2406,06:30:59.5,-24:06:46
0637-75,06:35:46.5,-75:16:17
0727-11,07:30:19.1,-11:41:13
0736+01,00:00:00,00:00:00
0805-077,08:08:15.5,-07:51:10
0816-1311,08:16:27.2,-13:11:52.2
0818-128,08:20:57.4,-12:58:59
0850-1213,08:50:09.6,-12:13:35
0943+105,00:00:00,00:00:00
1004-217,10:06:46.4,-21:59:20
1055+018,10:58:29.61,+01:33:58.8
1050-1134,10:59:12.43,-11:34:22.76
1123-6415,00:00:00,00:00:00
1124-186,11:27:04.4,-18:57:17.44
1127-14,11:30:07.0,-14:49:27
1144-379,11:47:01.4,-38:12:11
1212+078,12:15:10.9,+07:32:04
1244-255,12:46:46.8,-25:47:49
1329-049,13:32:04.4,-05:09:43
1335-127,13:37:39.8,-12:57:25
1406-076,14:08:56.48,-07:52:26.67
1419-08,00:00:00,00:00:00
1424-41,14:27:56.3,-42:06:19
1451-375,00:00:00,00:00:00
1454-354,00:00:00,00:00:00
1502+106,00:00:00,00:00:00
1508-05,15:10:53.6,-05:43:07
1510-089,15:12:50.53,-09:05:58.99
1514-241,15:17:41.8,-24:22:19
1532+01,00:00:00,00:00:00
1550-242,15:53:31.6,-24:22:06
1610-6649,16:10:46.4,-66:49:01.2
1622-253,00:00:00,00:00:00
1622-297,16:26:06.02,-29:51:26.97
1717-5156,17:17:34.65,-51:55:32.06
1730-130,17:33:02.7,-13:04:49.54
1749+096,17:51:32.8,+09:39:01
1824-582,00:00:00,00:00:00
1908-20,00:00:00,00:00:00
1913-3630,19:13:20.88,-36:30:19.38
1921-1607,19:21:51.5,-16:07:12.6
1931+0938,00:00:00,00:00:00
1954-388,19:57:59.8,-38:45:06
1958-179,20:00:57.1,-17:48:58
2023-07,00:00:00,00:00:00
2032+107,00:00:00,00:00:00
2052-474,20:56:16.3,-47:14:48
2052-5533,00:00:00,00:00:00
2055-002,20:55:28.1,-00:21:16.9
2149-307,21:51:55.523,-30:27:53.697
2155-304,21:58:52.07,-30:13:32.1
2155-83,00:00:00,00:00:00
2227-08,22:29:40.1,-08:32:54
2232+1143,00:00:00,00:00:00
2232-488,22:35:13.2,-48:35:59
2233-148,22:36:34.1,-14:33:22.2
2240-260,22:43:26.4,-25:44:31
2255-282,22:58:05.9,-27:58:21
2320-035,00:00:00,00:00:00
2322-409,23:24:44.6,-40:40:49
2326-502,23:29:20.88,-49:55:40.68
2331-2148,23:31:04.0,-21:48:15
2345-1555,23:45:12.46,-15:55:07.83
2345-16,23:48:02.6,-16:31:12
2354-021,00:00:00,00:00:00
2356-309,23:59:07.9,-30:37:41
3C120,00:00:00,00:00:00
3C273,00:00:00,00:00:00
3C279,12:56:11.1,-05:47:2
3C446,22:25:47.2,-04:57:0
3C454.3,22:53:57.75,+16:08:53.56
OJ287,08:54:48.87,+20:06:30.64
